business_name,business_status,street_name_address,lot_address,latitude,longitude
GS25 고색거산,영업,"경기도 수원시 권선구 고현로5번길 25, 상가동 101호 (고색동, 거산아파트)",경기도 수원시 권선구 고색동 306-1번지 거산아파트 상가동 101호,37.247825,126.9860318
GS25금곡CM점,영업,"경기도 수원시 권선구 금곡로196번길 68, CM타워 1층 104호 (금곡동)",경기도 수원시 권선구 금곡동 1124-2번지 CM타워 104호,37.2732886,126.9550091
이마트24 수원율전점,영업,"경기도 수원시 장안구 서부로 2179, 1층 (율전동)",경기도 수원시 장안구 율전동 99-55번지,37.302785,126.9726424
지에스25 장안수성,영업,"경기도 수원시 장안구 영화로71번길 36, 10호 일부 (정자동)",경기도 수원시 장안구 정자동 69-46번지 10호 일부 ,37.292346,127.0047541
CU구운로점(씨유구운로점),영업,"경기도 수원시 권선구 구운로85번길 47-15, 1층 (구운동)",경기도 수원시 권선구 구운동 934-8번지,37.2801507,126.9706782
GS25광교데시앙,영업,"경기도 수원시 영통구 광교로 114 (이의동, 1351-1 광교데시앙루브 109호일부)",경기도 수원시 영통구 이의동 1351-1번지 광교데시앙루브 109호일부 ,37.2905452,127.0457472
씨유 수원탑동점,영업,"경기도 수원시 권선구 탑동로11번길 2 (탑동, 1층일부)",경기도 수원시 권선구 탑동 840-7번지 1층일부,37.2700422,126.9747525
세븐일레븐 수원영화점,영업,"경기도 수원시 장안구 정조로945번길 13, 1층 (영화동)",경기도 수원시 장안구 영화동 342-11번지 ,37.29134559,127.0111935
지에스25 수원파크,영업,"경기도 수원시 권선구 권선로699번길 17, 1층 (권선동)",경기도 수원시 권선구 권선동 1017-7번지 1층,37.2596541,127.0278624
미니스톱 세류베스트점,영업,"경기도 수원시 권선구 정조로443번길 41, 1층 (세류동)",경기도 수원시 권선구 세류동 579-16번지 1층 ,37.2500424,127.0110086
미니스톱 탑동중앙점,영업,"경기도 수원시 권선구 탑동로 1, 1층 (탑동)",경기도 수원시 권선구 탑동 835-8번지 1층,37.2690151,126.9751137
GS25 수원팰리스,영업,경기도 수원시 장안구 송정로90번길 16 (정자동),경기도 수원시 장안구 정자동 12-2번지,37.2947606,127.0073142
씨스페이스우만점,영업,경기도 수원시 팔달구 세지로 442 (우만동),경기도 수원시 팔달구 우만동 499-20번지 ,37.2873776,127.0326417
세븐일레븐 수원망포현대점,영업,"경기도 수원시 영통구 태장로 47, 망포마을현대2차아이파크 상가동 106호 (망포동)",경기도 수원시 영통구 망포동 683번지 망포마을현대2차아이파크 상가동 106호,37.2400495,127.0509704
CU광교경기대점,영업,"경기도 수원시 영통구 대학로 12, 1층 103호 (이의동)",경기도 수원시 영통구 이의동 1275-10번지 ,37.2976195,127.0421421
이마트24마이홈점,영업,"경기도 수원시 팔달구 효원로292번길 50, 101호 (인계동, 마이홈오피스텔  )",경기도 수원시 팔달구 인계동 1131-1번지 마이홈오피스텔 101호 ,37.2596801,127.031977
세븐일레븐 수원호매실프라자점,영업,"경기도 수원시 권선구 금곡로102번길 38, 호매실프라자 1층 101호 (금곡동)",경기도 수원시 권선구 금곡동 1083-1번지 호매실프라자 101호,37.27234515,126.9411532
미니스톱 고색산단2점,영업,"경기도 수원시 권선구 산업로 180, DH테크타워 1층 121,122호 (고색동)","경기도 수원시 권선구 고색동 1094번지 DH테크타워 121,2호",37.2423554,126.9841171
씨유만석공원점,영업,"경기도 수원시 장안구 파장로 1, 1층 (송죽동)",경기도 수원시 장안구 송죽동 258-3번지 (1층),37.3033745,126.9998365
미니스톱 영화센터점,영업,경기도 수원시 장안구 수성로382번길 14 (영화동),경기도 수원시 장안구 영화동 259-5번지 ,37.29334563,127.0140019
미니스톱수원삼익점,영업,경기도 수원시 장안구 경수대로 1082 (파장동),경기도 수원시 장안구 파장동 266-8번지,37.3094831,126.9943654
씨유영통리슈빌,영업,"경기도 수원시 영통구 중부대로 604 (영통동, 945-2 수원영통리슈빌스카이오피스텔 132호일부)",경기도 수원시 영통구 영통동 945-2번지 수원영통리슈빌스카이오피스텔 132호일부,37.2672354,127.0813032
씨유 수원호매실소망점,영업,"경기도 수원시 권선구 노림로15번길 5-9, 1층 (호매실동)",경기도 수원시 권선구 호매실동 404-5번지 ,37.26684598,126.9542579
GS25 수원에비뉴,영업,"경기도 수원시 권선구 동수원로177번길 40, 115호 (권선동, 아이파크시티8단지)",경기도 수원시 권선구 권선동 1364번지 아이파크시티8단지 115호,37.2466607,127.0300559
씨유수원곡반정썬스타,영업,"경기도 수원시 권선구 곡선로49번길 32-20, 1층 (곡반정동)",경기도 수원시 권선구 곡반정동 552-8번지 1층,37.2397134,127.0315861
GS세류파크점,영업,경기도 수원시 권선구 정조로384번길 23 (세류동),경기도 수원시 권선구 세류동 1159-7번지,37.2441042,127.0158091
미니스톱 권선중앙점,영업,"경기도 수원시 권선구 장다리로 109, 1층 (권선동)",경기도 수원시 권선구 권선동 972-10번지 1층 ,37.25988483,127.0217802
GS25율전래미안,영업,"경기도 수원시 장안구 화산로187번길 19, 106호 (천천동)",경기도 수원시 장안구 천천동 544번지 106호,37.2974247,126.9762311
지에스25 신동삼성,영업,경기도 수원시 영통구 신원로136번길 12 (신동),경기도 수원시 영통구 신동 334-18번지,37.2486884,127.0555858
세븐일레븐 일호골든타워점,영업,"경기도 수원시 장안구 경수대로 940, 일호골든타워 109호 (조원동)",경기도 수원시 장안구 조원동 894번지 일호골든타워 109호,37.303068,127.0080365
GS25율전제일점,영업,"경기도 수원시 장안구 덕영대로439번길 13-4, 1층 (율전동)",경기도 수원시 장안구 율전동 228번지,37.3014871,126.9710864
GS25곡반정원룸점,영업,"경기도 수원시 권선구 동수원로146번길 308-1, 1층 (곡반정동)",경기도 수원시 권선구 곡반정동 534-12번지 1층 ,37.24242458,127.0307412
세븐일레븐 수원칠보9단지점,영업,"경기도 수원시 권선구 금곡로140번길 73, 상가1동 103,104호 (호매실동, 칠보마을9단지)","경기도 수원시 권선구 호매실동 1352번지 칠보마을9단지 상가1동 103,104호 ",37.27034742,126.9462621
지에스 25 수원힐스,영업,"경기도 수원시 영통구 덕영대로 1462-14, 601동 105호 (망포동, 힐스테이트 영통 아파트)",경기도 수원시 영통구 망포동 728번지 힐스테이트 영통 아파트 601동 105호,37.2439871,127.0506686
세븐일레븐 수원신원로점,영업,"경기도 수원시 영통구 신원로136번길 30, 지1층 (신동)",경기도 수원시 영통구 신동 334-41번지 지하1층,37.2479949,127.0548865
