business_name,business_status,street_name_address,lot_address,latitude,longitude
씨유 뉴현리맹호,영업,경기도 가평군 조종면 운악청계로 156,경기도 가평군 조종면 현리 74-18번지 ,37.8340759,127.3447068
씨유 청평역점,영업,경기도 가평군 청평면 잠곡로 36,경기도 가평군 청평면 청평리 388-10번지,37.7371028,127.4225919
세븐일레븐(가평설악방주점),영업,경기도 가평군 설악면 유명로 1641-5,경기도 가평군 설악면 신천리 601번지,37.6752273,127.4856186
GS25남이섬,영업,"경기도 가평군 가평읍 북한강변로 1054, 1층","경기도 가평군 가평읍 달전리 113-4번지 , 1층",37.8065694,127.5252959
지에스25가평터미널,영업,"경기도 가평군 가평읍 가화로 50, 1층",경기도 가평군 가평읍 대곡리 169-1번지 ,37.8243149,127.5157212
CU가평수성가든점,영업,"경기도 가평군 상면 비룡로 2088, 1층",경기도 가평군 상면 태봉리 355-5번지 ,37.79726163,127.3341219
GS25 대성리점,영업,경기도 가평군 청평면 경춘로 89,경기도 가평군 청평면 대성리 399-25번지,37.6839428,127.3782382
바이더웨이 가평설악점,영업,경기도 가평군 설악면 신천중앙로 114,경기도 가평군 설악면 신천리 432-6번지,37.6777268,127.4912459
이마트24 가평현리점,영업,"경기도 가평군 조종면 청군로 1229, 1층",경기도 가평군 조종면 현리 477-117번지 백운종합마트 ,37.8144793,127.3495414
지에스25 가평신상리점,영업,"경기도 가평군 조종면 운악청계로 348, 1층",경기도 가평군 조종면 신상리 131-1번지 ,37.84645416,127.3554286
이마트24 유명산점,영업,"경기도 가평군 설악면 유명산길 27, 1층",경기도 가평군 설악면 가일리 193-25번지 ,37.59929179,127.4927485
세븐일레븐 조종현리점,영업,"경기도 가평군 조종면 조종희망로 39, 1층",경기도 가평군 조종면 현리 278-2번지 ,37.82011766,127.3500676
씨유설악신천점,영업,경기도 가평군 설악면 신천중앙로 166,경기도 가평군 설악면 신천리 570-1번지 ,37.67836169,127.4858656
이마트24 뮤직빌리지점,영업,"경기도 가평군 가평읍 석봉로 73-1, 1층",경기도 가평군 가평읍 대곡리 145-4번지 1층 ,37.8218694,127.5124901
이마트24청평대성점,영업,경기도 가평군 청평면 청평중앙로 9-1,경기도 가평군 청평면 청평리 440-3번지,37.7361347,127.416086
