police_station_name,classification,lot_address,street_name_address,latitude,longitude
행궁,파출소,경기도 수원시 팔달구 남수동 11-841번지,경기도 수원시 팔달구 창룡대로 48,37.28292887,127.0213074
장안문,지구대,경기도 수원시 장안구 조원동 680-6번지,경기도 수원시 장안구 송정로 113,37.29567963,127.0095022
산남,지구대,경기도 수원시 영통구 매탄동 1213-2번지,경기도 수원시 영통구 매영로 93-18,37.26860237,127.0529954
영통,지구대,경기도 수원시 영통구 영통동 1046-2번지,경기도 수원시 영통구 청명로 92,37.2547675,127.0777734
권선,파출소,경기도 수원시 권선구 권선동 1013-23번지,경기도 수원시 권선구 권선로699번길 24-23,37.25977088,127.0295083
태장,파출소,경기도 수원시 영통구 망포동 396-1번지,경기도 수원시 영통구 영통로 143,37.24027293,127.0553658
매산,지구대,경기도 수원시 팔달구 매산로1가 18번지,경기도 수원시 팔달구 덕영대로 924,37.26607203,126.9998381
고등,파출소,경기도 수원시 팔달구 고등동 105-25번지,경기도 수원시 팔달구 고등로 50,37.273019,127.0024535
서호,지구대,경기도 수원시 권선구 구운동 938번지,경기도 수원시 권선구 구운로73번길 18-13,37.28068253,126.9713094
당수,파출소,경기도 수원시 권선구 당수동 159-1번지,경기도 수원시 권선구 당진로32번길 28-4,37.29168151,126.9417915
노송,지구대,경기도 수원시 장안구 파장동 566-14번지,경기도 수원시 장안구 이목로 58,37.31031149,126.9879468
화서문,지구대,경기도 수원시 팔달구 화서동 647-1번지,경기도 수원시 팔달구 수성로182번길 3,37.28670519,126.9931163
율천,파출소,경기도 수원시 장안구 율전동 497-7번지,경기도 수원시 장안구 서부로 2124,37.29790121,126.971618
창룡문,파출소,경기도 수원시 장안구 연무동 254-11번지,경기도 수원시 장안구 경수대로 758,37.29101098,127.0218957
매탄,지구대,경기도 수원시 팔달구 인계동 1117-1번지,경기도 수원시 팔달구 동수원로 403,37.26507515,127.0399157
곡선,지구대,경기도 수원시 권선구 권선동 1268번지,경기도 수원시 권선구 권중로 77,37.25179667,127.0298887
인계,파출소,경기도 수원시 팔달구 인계동 930-1번지,경기도 수원시 팔달구 장다리로 312,37.27565559,127.0313405
세류,파출소,경기도 수원시 권선구 세류동 1167-33번지,경기도 수원시 권선구 정조로 370,37.24265363,127.0152567
광교,파출소,경기도 수원시 영통구 이의동 1347-6번지,경기도 수원시 영통구 에듀타운로 82,37.28854426,127.0476069
유천,파출소,경기도 수원시 팔달구 매교동 77-63번지,경기도 수원시 팔달구 매산로116번길 50,37.26904491,127.0143365
호매실,파출소,경기도 수원시 권선구 금곡동 1119-1번지,경기도 수원시 권선구 금곡로 190,37.27309796,126.9515367
고색,파출소,경기도 수원시 권선구 고색동 146-7번지,경기도 수원시 권선구 매송고색로 750,37.25196076,126.9862338
동부,파출소,경기도 수원시 팔달구 지동 480-6번지,경기도 수원시 팔달구 경수대로 621,37.28084592,127.0295834
